,Date,Year,Month,Global Temperature Anomaly,Nino 1+2 SST,Nino 1+2 SST Anomaly,Nino 3 SST,Nino 3 SST Anomaly,Nino 3.4 SST,Nino 3.4 SST Anomaly,Nino 4 SST,Nino 4 SST Anomaly,   TNI,SOI,  OLR,   PNA, NOI,ENSO Precipitation Index,BEST,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),  ONI,RONI,Season (12-Month),ENSO Phase-Intensity
64,5/1/1955,1955,MAY,-0.20,22.26,-2.16,25.43,-1.82,26.66,-1.28,27.82,-1.10,0.399,1.7,,-0.42,3.862,,-1.34,AM,-1.497,,AMJ,-0.79,-0.41,1955-1956,ML
65,6/1/1955,1955,JUN,-0.13,21.20,-1.92,24.93,-1.69,26.55,-1.18,28.01,-0.96,0.319,2.2,,0.11,1.871,,-1.58,MJ,-1.887,,MJJ,-0.72,-0.29,1955-1956,ML
66,7/1/1955,1955,JUL,-0.11,20.52,-1.44,24.40,-1.41,26.15,-1.15,28.04,-0.86,0.045,2.6,,-1.32,1.333,,-1.75,JJ,-1.749,,JJA,-0.68,-0.40,1955-1956,ML
67,8/1/1955,1955,AUG,0.02,19.46,-1.55,23.66,-1.45,25.51,-1.35,27.54,-1.25,0.147,2.4,,-0.55,1.983,,-1.27,JA,-1.543,,JAS,-0.75,-0.64,1955-1956,ML
68,9/1/1955,1955,SEP,-0.11,19.26,-1.47,23.22,-1.68,25.28,-1.43,27.41,-1.35,0.346,2.2,,-0.22,1.979,,-1.41,AS,-1.647,,ASO,-1.09,-0.79,1955-1956,ML
69,10/1/1955,1955,OCT,-0.05,19.20,-1.82,22.58,-2.40,24.41,-2.31,26.76,-2.00,0.411,2.5,,0.51,2.494,,-1.57,SO,-1.960,,SON,-1.42,-1.64,1955-1956,ML
70,11/1/1955,1955,NOV,-0.25,19.83,-1.83,22.71,-2.39,24.25,-2.45,26.69,-2.00,0.545,2.0,,-0.93,3.016,,-1.60,ON,-2.081,,OND,-1.67,-1.86,1955-1956,ML
71,12/1/1955,1955,DEC,-0.28,21.12,-1.69,23.14,-2.09,24.57,-2.03,27.09,-1.45,0.840,1.6,,-2.37,-3.548,,-1.05,ND,-1.965,,NDJ,-1.47,-1.40,1955-1956,ML
72,1/1/1956,1956,JAN,-0.13,23.26,-1.31,24.60,-1.06,25.34,-1.20,27.04,-1.28,1.092,2.2,,-2.34,-2.126,,-1.01,DJ,-1.763,,DJF,-1.11,-0.55,1956-1957,WL
73,2/1/1956,1956,FEB,-0.24,24.90,-1.20,25.70,-0.70,25.76,-0.99,27.01,-1.19,1.119,2.7,,-1.69,5.060,,-1.00,JF,-1.614,,JFM,-0.76,-0.29,1956-1957,WL
